a,b,c,d,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15
6,22,1,17,2,1,4,3,3,4,1,2,1,2,3,4,4,3,2,1
6,22,3,11,2,1,4,3,3,4,1,2,1,3,2,4,4,2,3,1
6,22,20,12,2,1,4,3,3,4,1,2,4,2,3,1,1,3,2,4
6,22,22,6,2,1,4,3,3,4,1,2,4,3,2,1,1,2,3,4
6,23,1,16,2,1,4,3,3,4,2,1,1,2,3,4,4,3,1,2
6,23,22,0,2,1,4,3,3,4,2,1,4,3,1,2,1,2,3,4
7,16,0,23,2,1,3,4,4,3,1,2,1,2,4,3,3,4,2,1
7,16,5,9,2,1,3,4,4,3,1,2,1,4,2,3,3,2,4,1
7,16,14,18,2,1,3,4,4,3,1,2,3,2,4,1,1,4,2,3
7,16,16,7,2,1,3,4,4,3,1,2,3,4,2,1,1,2,4,3
7,17,0,22,2,1,3,4,4,3,2,1,1,2,4,3,3,4,1,2
7,17,16,1,2,1,3,4,4,3,2,1,3,4,1,2,1,2,4,3
7,22,0,17,2,1,4,3,4,3,1,2,1,2,3,4,3,4,2,1
7,22,16,6,2,1,4,3,4,3,1,2,3,4,2,1,1,2,3,4
7,23,0,16,2,1,4,3,4,3,2,1,1,2,3,4,3,4,1,2
7,23,5,14,2,1,4,3,4,3,2,1,1,4,3,2,3,2,1,4
7,23,14,5,2,1,4,3,4,3,2,1,3,2,1,4,1,4,3,2
7,23,16,0,2,1,4,3,4,3,2,1,3,4,1,2,1,2,3,4
8,4,13,21,2,3,1,4,1,4,2,3,3,1,4,2,4,2,3,1
8,4,15,19,2,3,1,4,1,4,2,3,3,2,4,1,4,1,3,2
8,4,19,15,2,3,1,4,1,4,2,3,4,1,3,2,3,2,4,1
8,4,21,13,2,3,1,4,1,4,2,3,4,2,3,1,3,1,4,2
8,5,15,18,2,3,1,4,1,4,3,2,3,2,4,1,4,1,2,3
8,5,19,9,2,3,1,4,1,4,3,2,4,1,2,3,3,2,4,1
8,18,15,5,2,3,4,1,1,4,2,3,3,2,1,4,4,1,3,2
8,18,19,14,2,3,4,1,1,4,2,3,4,1,3,2,3,2,1,4
8,19,13,10,2,3,4,1,1,4,3,2,3,1,2,4,4,2,1,3
8,19,15,4,2,3,4,1,1,4,3,2,3,2,1,4,4,1,2,3
8,19,19,8,2,3,4,1,1,4,3,2,4,1,2,3,3,2,1,4
8,19,21,2,2,3,4,1,1,4,3,2,4,2,1,3,3,1,2,4
9,4,5,15,2,3,1,4,4,1,2,3,1,4,3,2,3,2,4,1
9,4,14,19,2,3,1,4,4,1,2,3,3,2,4,1,1,4,3,2
9,5,0,23,2,3,1,4,4,1,3,2,1,2,4,3,3,4,2,1
9,5,5,9,2,3,1,4,4,1,3,2,1,4,2,3,3,2,4,1
9,5,14,18,2,3,1,4,4,1,3,2,3,2,4,1,1,4,2,3
9,5,16,7,2,3,1,4,4,1,3,2,3,4,2,1,1,2,4,3
9,18,0,16,2,3,4,1,4,1,2,3,1,2,3,4,3,4,1,2
9,18,5,14,2,3,4,1,4,1,2,3,1,4,3,2,3,2,1,4
9,18,14,5,2,3,4,1,4,1,2,3,3,2,1,4,1,4,3,2
9,18,16,0,2,3,4,1,4,1,2,3,3,4,1,2,1,2,3,4
9,19,5,8,2,3,4,1,4,1,3,2,1,4,2,3,3,2,1,4
9,19,14,4,2,3,4,1,4,1,3,2,3,2,1,4,1,4,2,3
10,2,13,21,2,4,1,3,1,3,2,4,3,1,4,2,4,2,3,1
10,2,15,19,2,4,1,3,1,3,2,4,3,2,4,1,4,1,3,2
10,2,19,15,2,4,1,3,1,3,2,4,4,1,3,2,3,2,4,1
10,2,21,13,2,4,1,3,1,3,2,4,4,2,3,1,3,1,4,2
10,3,13,11,2,4,1,3,1,3,4,2,3,1,2,4,4,2,3,1
10,3,21,12,2,4,1,3,1,3,4,2,4,2,3,1,3,1,2,4
10,12,13,20,2,4,3,1,1,3,2,4,3,1,4,2,4,2,1,3
10,12,21,3,2,4,3,1,1,3,2,4,4,2,1,3,3,1,4,2
10,13,13,10,2,4,3,1,1,3,4,2,3,1,2,4,4,2,1,3
10,13,15,4,2,4,3,1,1,3,4,2,3,2,1,4,4,1,2,3
10,13,19,8,2,4,3,1,1,3,4,2,4,1,2,3,3,2,1,4
10,13,21,2,2,4,3,1,1,3,4,2,4,2,1,3,3,1,2,4
11,2,3,21,2,4,1,3,3,1,2,4,1,3,4,2,4,2,3,1
11,2,20,13,2,4,1,3,3,1,2,4,4,2,3,1,1,3,4,2
11,3,1,17,2,4,1,3,3,1,4,2,1,2,3,4,4,3,2,1
11,3,3,11,2,4,1,3,3,1,4,2,1,3,2,4,4,2,3,1
11,3,20,12,2,4,1,3,3,1,4,2,4,2,3,1,1,3,2,4
11,3,22,6,2,4,1,3,3,1,4,2,4,3,2,1,1,2,3,4
11,12,1,22,2,4,3,1,3,1,2,4,1,2,4,3,4,3,1,2
11,12,3,20,2,4,3,1,3,1,2,4,1,3,4,2,4,2,1,3
11,12,20,3,2,4,3,1,3,1,2,4,4,2,1,3,1,3,4,2
11,12,22,1,2,4,3,1,3,1,2,4,4,3,1,2,1,2,4,3
11,13,3,10,2,4,3,1,3,1,4,2,1,3,2,4,4,2,1,3
11,13,20,2,2,4,3,1,3,1,4,2,4,2,1,3,1,3,2,4
12,10,3,21,3,1,2,4,2,4,1,3,1,3,4,2,4,2,3,1
12,10,20,13,3,1,2,4,2,4,1,3,4,2,3,1,1,3,4,2
12,11,1,22,3,1,2,4,2,4,3,1,1,2,4,3,4,3,1,2
12,11,3,20,3,1,2,4,2,4,3,1,1,3,4,2,4,2,1,3
12,11,20,3,3,1,2,4,2,4,3,1,4,2,1,3,1,3,4,2
12,11,22,1,3,1,2,4,2,4,3,1,4,3,1,2,1,2,4,3
12,20,1,17,3,1,4,2,2,4,1,3,1,2,3,4,4,3,2,1
12,20,3,11,3,1,4,2,2,4,1,3,1,3,2,4,4,2,3,1
12,20,20,12,3,1,4,2,2,4,1,3,4,2,3,1,1,3,2,4
12,20,22,6,3,1,4,2,2,4,1,3,4,3,2,1,1,2,3,4
12,21,3,10,3,1,4,2,2,4,3,1,1,3,2,4,4,2,1,3
12,21,20,2,3,1,4,2,2,4,3,1,4,2,1,3,1,3,2,4
13,10,2,21,3,1,2,4,4,2,1,3,1,3,4,2,2,4,3,1
13,10,4,15,3,1,2,4,4,2,1,3,1,4,3,2,2,3,4,1
13,10,8,19,3,1,2,4,4,2,1,3,2,3,4,1,1,4,3,2
13,10,10,13,3,1,2,4,4,2,1,3,2,4,3,1,1,3,4,2
13,11,2,20,3,1,2,4,4,2,3,1,1,3,4,2,2,4,1,3
13,11,10,3,3,1,2,4,4,2,3,1,2,4,1,3,1,3,4,2
13,20,2,11,3,1,4,2,4,2,1,3,1,3,2,4,2,4,3,1
13,20,10,12,3,1,4,2,4,2,1,3,2,4,3,1,1,3,2,4
13,21,2,10,3,1,4,2,4,2,3,1,1,3,2,4,2,4,1,3
13,21,4,8,3,1,4,2,4,2,3,1,1,4,2,3,2,3,1,4
13,21,8,4,3,1,4,2,4,2,3,1,2,3,1,4,1,4,2,3
13,21,10,2,3,1,4,2,4,2,3,1,2,4,1,3,1,3,2,4
14,4,9,19,3,2,1,4,1,4,2,3,2,3,4,1,4,1,3,2
14,4,18,15,3,2,1,4,1,4,2,3,4,1,3,2,2,3,4,1
14,5,7,23,3,2,1,4,1,4,3,2,2,1,4,3,4,3,2,1
14,5,9,18,3,2,1,4,1,4,3,2,2,3,4,1,4,1,2,3
14,5,18,9,3,2,1,4,1,4,3,2,4,1,2,3,2,3,4,1
14,5,23,7,3,2,1,4,1,4,3,2,4,3,2,1,2,1,4,3
14,18,7,16,3,2,4,1,1,4,2,3,2,1,3,4,4,3,1,2
14,18,9,5,3,2,4,1,1,4,2,3,2,3,1,4,4,1,3,2
14,18,18,14,3,2,4,1,1,4,2,3,4,1,3,2,2,3,1,4
14,18,23,0,3,2,4,1,1,4,2,3,4,3,1,2,2,1,3,4
14,19,9,4,3,2,4,1,1,4,3,2,2,3,1,4,4,1,2,3
14,19,18,8,3,2,4,1,1,4,3,2,4,1,2,3,2,3,1,4
15,4,2,21,3,2,1,4,4,1,2,3,1,3,4,2,2,4,3,1
15,4,4,15,3,2,1,4,4,1,2,3,1,4,3,2,2,3,4,1
15,4,8,19,3,2,1,4,4,1,2,3,2,3,4,1,1,4,3,2
15,4,10,13,3,2,1,4,4,1,2,3,2,4,3,1,1,3,4,2
15,5,4,9,3,2,1,4,4,1,3,2,1,4,2,3,2,3,4,1
15,5,8,18,3,2,1,4,4,1,3,2,2,3,4,1,1,4,2,3
15,18,4,14,3,2,4,1,4,1,2,3,1,4,3,2,2,3,1,4
15,18,8,5,3,2,4,1,4,1,2,3,2,3,1,4,1,4,3,2
15,19,2,10,3,2,4,1,4,1,3,2,1,3,2,4,2,4,1,3
15,19,4,8,3,2,4,1,4,1,3,2,1,4,2,3,2,3,1,4
15,19,8,4,3,2,4,1,4,1,3,2,2,3,1,4,1,4,2,3
15,19,10,2,3,2,4,1,4,1,3,2,2,4,1,3,1,3,2,4
16,0,7,23,3,4,1,2,1,2,3,4,2,1,4,3,4,3,2,1
16,0,9,18,3,4,1,2,1,2,3,4,2,3,4,1,4,1,2,3
16,0,18,9,3,4,1,2,1,2,3,4,4,1,2,3,2,3,4,1
16,0,23,7,3,4,1,2,1,2,3,4,4,3,2,1,2,1,4,3
16,1,7,17,3,4,1,2,1,2,4,3,2,1,3,4,4,3,2,1
16,1,23,6,3,4,1,2,1,2,4,3,4,3,2,1,2,1,3,4
16,6,7,22,3,4,2,1,1,2,3,4,2,1,4,3,4,3,1,2
16,6,23,1,3,4,2,1,1,2,3,4,4,3,1,2,2,1,4,3
16,7,7,16,3,4,2,1,1,2,4,3,2,1,3,4,4,3,1,2
16,7,9,5,3,4,2,1,1,2,4,3,2,3,1,4,4,1,3,2
16,7,18,14,3,4,2,1,1,2,4,3,4,1,3,2,2,3,1,4
16,7,23,0,3,4,2,1,1,2,4,3,4,3,1,2,2,1,3,4
17,0,1,23,3,4,1,2,2,1,3,4,1,2,4,3,4,3,2,1
17,0,22,7,3,4,1,2,2,1,3,4,4,3,2,1,1,2,4,3
17,1,1,17,3,4,1,2,2,1,4,3,1,2,3,4,4,3,2,1
17,1,3,11,3,4,1,2,2,1,4,3,1,3,2,4,4,2,3,1
17,1,20,12,3,4,1,2,2,1,4,3,4,2,3,1,1,3,2,4
17,1,22,6,3,4,1,2,2,1,4,3,4,3,2,1,1,2,3,4
17,6,1,22,3,4,2,1,2,1,3,4,1,2,4,3,4,3,1,2
17,6,3,20,3,4,2,1,2,1,3,4,1,3,4,2,4,2,1,3
17,6,20,3,3,4,2,1,2,1,3,4,4,2,1,3,1,3,4,2
17,6,22,1,3,4,2,1,2,1,3,4,4,3,1,2,1,2,4,3
17,7,1,16,3,4,2,1,2,1,4,3,1,2,3,4,4,3,1,2
17,7,22,0,3,4,2,1,2,1,4,3,4,3,1,2,1,2,3,4
18,8,5,15,4,1,2,3,2,3,1,4,1,4,3,2,3,2,4,1
18,8,14,19,4,1,2,3,2,3,1,4,3,2,4,1,1,4,3,2
18,9,0,16,4,1,2,3,2,3,4,1,1,2,3,4,3,4,1,2
18,9,5,14,4,1,2,3,2,3,4,1,1,4,3,2,3,2,1,4
18,9,14,5,4,1,2,3,2,3,4,1,3,2,1,4,1,4,3,2
18,9,16,0,4,1,2,3,2,3,4,1,3,4,1,2,1,2,3,4
18,14,0,23,4,1,3,2,2,3,1,4,1,2,4,3,3,4,2,1
18,14,5,9,4,1,3,2,2,3,1,4,1,4,2,3,3,2,4,1
18,14,14,18,4,1,3,2,2,3,1,4,3,2,4,1,1,4,2,3
18,14,16,7,4,1,3,2,2,3,1,4,3,4,2,1,1,2,4,3
18,15,5,8,4,1,3,2,2,3,4,1,1,4,2,3,3,2,1,4
18,15,14,4,4,1,3,2,2,3,4,1,3,2,1,4,1,4,2,3
19,8,2,21,4,1,2,3,3,2,1,4,1,3,4,2,2,4,3,1
19,8,4,15,4,1,2,3,3,2,1,4,1,4,3,2,2,3,4,1
19,8,8,19,4,1,2,3,3,2,1,4,2,3,4,1,1,4,3,2
19,8,10,13,4,1,2,3,3,2,1,4,2,4,3,1,1,3,4,2
19,9,4,14,4,1,2,3,3,2,4,1,1,4,3,2,2,3,1,4
19,9,8,5,4,1,2,3,3,2,4,1,2,3,1,4,1,4,3,2
19,14,4,9,4,1,3,2,3,2,1,4,1,4,2,3,2,3,4,1
19,14,8,18,4,1,3,2,3,2,1,4,2,3,4,1,1,4,2,3
19,15,2,10,4,1,3,2,3,2,4,1,1,3,2,4,2,4,1,3
19,15,4,8,4,1,3,2,3,2,4,1,1,4,2,3,2,3,1,4
19,15,8,4,4,1,3,2,3,2,4,1,2,3,1,4,1,4,2,3
19,15,10,2,4,1,3,2,3,2,4,1,2,4,1,3,1,3,2,4
20,2,11,13,4,2,1,3,1,3,2,4,2,4,3,1,3,1,4,2
20,2,12,21,4,2,1,3,1,3,2,4,3,1,4,2,2,4,3,1
20,3,6,17,4,2,1,3,1,3,4,2,2,1,3,4,3,4,2,1
20,3,11,12,4,2,1,3,1,3,4,2,2,4,3,1,3,1,2,4
20,3,12,11,4,2,1,3,1,3,4,2,3,1,2,4,2,4,3,1
20,3,17,6,4,2,1,3,1,3,4,2,3,4,2,1,2,1,3,4
20,12,6,22,4,2,3,1,1,3,2,4,2,1,4,3,3,4,1,2
20,12,11,3,4,2,3,1,1,3,2,4,2,4,1,3,3,1,4,2
20,12,12,20,4,2,3,1,1,3,2,4,3,1,4,2,2,4,1,3
20,12,17,1,4,2,3,1,1,3,2,4,3,4,1,2,2,1,4,3
20,13,11,2,4,2,3,1,1,3,4,2,2,4,1,3,3,1,2,4
20,13,12,10,4,2,3,1,1,3,4,2,3,1,2,4,2,4,1,3
21,2,2,21,4,2,1,3,3,1,2,4,1,3,4,2,2,4,3,1
21,2,4,15,4,2,1,3,3,1,2,4,1,4,3,2,2,3,4,1
21,2,8,19,4,2,1,3,3,1,2,4,2,3,4,1,1,4,3,2
21,2,10,13,4,2,1,3,3,1,2,4,2,4,3,1,1,3,4,2
21,3,2,11,4,2,1,3,3,1,4,2,1,3,2,4,2,4,3,1
21,3,10,12,4,2,1,3,3,1,4,2,2,4,3,1,1,3,2,4
21,12,2,20,4,2,3,1,3,1,2,4,1,3,4,2,2,4,1,3
21,12,10,3,4,2,3,1,3,1,2,4,2,4,1,3,1,3,4,2
21,13,2,10,4,2,3,1,3,1,4,2,1,3,2,4,2,4,1,3
21,13,4,8,4,2,3,1,3,1,4,2,1,4,2,3,2,3,1,4
21,13,8,4,4,2,3,1,3,1,4,2,2,3,1,4,1,4,2,3
21,13,10,2,4,2,3,1,3,1,4,2,2,4,1,3,1,3,2,4
22,0,6,23,4,3,1,2,1,2,3,4,2,1,4,3,3,4,2,1
22,0,17,7,4,3,1,2,1,2,3,4,3,4,2,1,2,1,4,3
22,1,6,17,4,3,1,2,1,2,4,3,2,1,3,4,3,4,2,1
22,1,11,12,4,3,1,2,1,2,4,3,2,4,3,1,3,1,2,4
22,1,12,11,4,3,1,2,1,2,4,3,3,1,2,4,2,4,3,1
22,1,17,6,4,3,1,2,1,2,4,3,3,4,2,1,2,1,3,4
22,6,6,22,4,3,2,1,1,2,3,4,2,1,4,3,3,4,1,2
22,6,11,3,4,3,2,1,1,2,3,4,2,4,1,3,3,1,4,2
22,6,12,20,4,3,2,1,1,2,3,4,3,1,4,2,2,4,1,3
22,6,17,1,4,3,2,1,1,2,3,4,3,4,1,2,2,1,4,3
22,7,6,16,4,3,2,1,1,2,4,3,2,1,3,4,3,4,1,2
22,7,17,0,4,3,2,1,1,2,4,3,3,4,1,2,2,1,3,4
23,0,0,23,4,3,1,2,2,1,3,4,1,2,4,3,3,4,2,1
23,0,5,9,4,3,1,2,2,1,3,4,1,4,2,3,3,2,4,1
23,0,14,18,4,3,1,2,2,1,3,4,3,2,4,1,1,4,2,3
23,0,16,7,4,3,1,2,2,1,3,4,3,4,2,1,1,2,4,3
23,1,0,17,4,3,1,2,2,1,4,3,1,2,3,4,3,4,2,1
23,1,16,6,4,3,1,2,2,1,4,3,3,4,2,1,1,2,3,4
23,6,0,22,4,3,2,1,2,1,3,4,1,2,4,3,3,4,1,2
23,6,16,1,4,3,2,1,2,1,3,4,3,4,1,2,1,2,4,3
23,7,0,16,4,3,2,1,2,1,4,3,1,2,3,4,3,4,1,2
23,7,5,14,4,3,2,1,2,1,4,3,1,4,3,2,3,2,1,4
23,7,14,5,4,3,2,1,2,1,4,3,3,2,1,4,1,4,3,2
23,7,16,0,4,3,2,1,2,1,4,3,3,4,1,2,1,2,3,4
